utility_account_number,term,month,monthly_usage_kwh,gross_cost,computed_gross_cost,pred_gross_cost,default_rce,rce,pred_rce,default_icap_kw,icap,pred_icap,default_nits_kw,nits,pred_nits,contract_rate,netrate,pred_rce_scaled_usage,rce_scaled_usage,sum_pred_gross_cost,sum_pred_rce_scaled_usage,sum_computed_gross_cost,sum_rce_scaled_usage,model_rate,computed_rate,model_tot_charge,model_margin,computed_tot_charge,computed_margin
PE000010114042458213,3,2021-04-30,380.0793650793651,149.87,39.18,37.98,0.643,1.051,1.7681187755781735,2.0,1.71,4.166341178368423,2.0,1.49,3.8413050014292516,0.1099,0.1099,1045.140686791068,621.2494754252142,107.28999999999999,3964.701783584398,118.93,2356.6864580037213,0.03,0.056,31.35422060373204,-6.6257793962679585,34.789970623811996,-4.390029376188004
PE000010114042458213,3,2021-05-31,477.6262626262627,135.08,39.46,35.53,0.643,1.051,1.7681187755781735,2.0,1.71,4.166341178368423,2.0,1.49,3.8413050014292516,0.1099,0.1099,1313.374747525236,780.6923826130669,107.28999999999999,3964.701783584398,118.93,2356.6864580037213,0.03,0.056,39.401242425757076,3.8712424257570746,43.71877342633175,4.25877342633175
PE000010114042458213,3,2021-06-30,584.1111111111113,122.05,40.29,33.78,0.643,1.051,1.7681187755781735,2.0,1.71,4.166341178368423,2.0,1.49,3.8413050014292516,0.1099,0.1099,1606.1863492680943,954.74459996544,107.28999999999999,3964.701783584398,118.93,2356.6864580037213,0.03,0.056,48.185590478042826,14.405590478042825,53.465697598064644,13.175697598064644
PE000010366725995046,6,2021-07-31,842.0000000000003,109.19,41.06,33.61,0.643,1.65,1.6930364358983692,2.0,6.331,4.160285910438985,2.0,5.887,3.492715181648193,0.1199,0.119902227050516,2217.0088320784253,2160.653188180405,253.14,9613.760630116905,318.53000000000003,9369.381959742484,0.029,0.038,64.29325613027433,30.68325613027433,82.10482115085539,41.044821150855384
PE000010366725995046,6,2021-08-31,873.7989130434787,114.41,43.14,35.88,0.643,1.65,1.6930364358983692,2.0,6.331,4.160285910438985,2.0,5.887,3.492715181648193,0.1199,0.119902227050516,2300.7362323965785,2242.2522651971067,253.14,9613.760630116905,318.53000000000003,9369.381959742484,0.029,0.038,66.72135073950078,30.841350739500776,85.20558607749005,42.06558607749005
PE000010366725995046,6,2021-09-30,561.9425837320576,137.39,51.36,40.78,0.643,1.65,1.6930364358983692,2.0,6.331,4.160285910438985,2.0,5.887,3.492715181648193,0.1199,0.119902227050516,1479.6100608728518,1441.9988540558243,253.14,9613.760630116905,318.53000000000003,9369.381959742484,0.029,0.038,42.9086917653127,2.128691765312702,54.795956454121324,3.4359564541213246
PE000010366725995046,6,2021-10-31,403.2282608695652,178.49,66.41,51.36,0.643,1.65,1.6930364358983692,2.0,6.331,4.160285910438985,2.0,5.887,3.492715181648193,0.1199,0.119902227050516,1061.7109450017208,1034.7225978768001,253.14,9613.760630116905,318.53000000000003,9369.381959742484,0.029,0.038,30.789617405049906,-20.570382594950093,39.319458719318405,-27.09054128068159
PE000010366725995046,6,2021-11-30,435.0,167.83,62.64,49.04,0.643,1.65,1.6930364358983692,2.0,6.331,4.160285910438985,2.0,5.887,3.492715181648193,0.1199,0.119902227050516,1145.3667956699696,1116.2519440124415,253.14,9613.760630116905,318.53000000000003,9369.381959742484,0.029,0.038,33.21563707442912,-15.824362925570881,42.41757387247278,-20.22242612752722
PE000010366725995046,6,2021-12-31,535.25,144.34,53.92,42.47,0.643,1.65,1.6930364358983692,2.0,6.331,4.160285910438985,2.0,5.887,3.492715181648193,0.1199,0.119902227050516,1409.3277640973592,1373.5031104199065,253.14,9613.760630116905,318.53000000000003,9369.381959742484,0.029,0.038,40.87050515882342,-1.599494841176579,52.193118195956444,-1.7268818040435576
PE000010464743343465,3,2021-04-30,380.0793650793651,149.87,92.57,54.91,0.643,0.526,0.8849676263968667,2.0,2.416,2.4253440590022968,2.0,2.1,2.3664487298723844,0.1099,0.1099078341013824,523.1072061535208,310.9202893184231,162.07999999999998,1984.387460419783,273.26,1179.4643928734133,0.091,0.257,47.60275575997039,-7.307244240029604,79.90651435483474,-12.663485645165252
PE000010464743343465,3,2021-05-31,477.6262626262627,135.08,90.6,53.76,0.643,0.526,0.8849676263968667,2.0,2.416,2.4253440590022968,2.0,2.1,2.3664487298723844,0.1099,0.1099078341013824,657.3620216814465,390.71759586534085,162.07999999999998,1984.387460419783,273.26,1179.4643928734133,0.091,0.257,59.81994397301163,6.0599439730116345,100.4144221373926,9.814422137392611
PE000010464743343465,3,2021-06-30,584.1111111111113,122.05,90.09,53.41,0.643,0.526,0.8849676263968667,2.0,2.416,2.4253440590022968,2.0,2.1,2.3664487298723844,0.1099,0.1099078341013824,803.9182325848159,477.82650768964936,162.07999999999998,1984.387460419783,273.26,1179.4643928734133,0.091,0.257,73.15655916521824,19.746559165218244,122.80141247623989,32.711412476239886
PE000011028313211758,6,2021-03-31,404.3434343434344,146.76,70.82,45.18,0.643,1.198,1.3991920643643798,2.0,5.908,3.8661579477876025,2.0,4.189,3.1236976592846655,0.1199,0.1199004975124378,879.8664457405491,753.3490425247813,257.80999999999995,7750.956278393078,383.31999999999994,6636.433880671813,0.037,0.064,32.55505849240031,-12.624941507599686,48.21433872158601,-22.605661278413983
PE000011028313211758,6,2021-04-30,380.0793650793651,149.87,72.26,45.96,0.643,1.198,1.3991920643643798,2.0,5.908,3.8661579477876025,2.0,4.189,3.1236976592846655,0.1199,0.1199004975124378,827.0669229357693,708.1416475351157,257.80999999999995,7750.956278393078,383.31999999999994,6636.433880671813,0.037,0.064,30.601476148623462,-15.358523851376539,45.3210654422474,-26.938934557752603
PE000011028313211758,6,2021-05-31,477.6262626262627,135.08,65.77,43.23,0.643,1.198,1.3991920643643798,2.0,5.908,3.8661579477876025,2.0,4.189,3.1236976592846655,0.1199,0.1199004975124378,1039.3326227040186,889.8853229024303,257.80999999999995,7750.956278393078,383.31999999999994,6636.433880671813,0.037,0.064,38.45530704004869,-4.7746929599513095,56.95266066575554,-8.817339334244458
PE000011028313211758,6,2021-06-30,584.1111111111113,122.05,60.93,41.39,0.643,1.198,1.3991920643643798,2.0,5.908,3.8661579477876025,2.0,4.189,3.1236976592846655,0.1199,0.1199004975124378,1271.0476382173056,1088.2816658026613,257.80999999999995,7750.956278393078,383.31999999999994,6636.433880671813,0.037,0.064,47.0287626140403,5.638762614040303,69.65002661137032,8.720026611370322
PE000011028313211758,6,2021-07-31,842.0000000000003,109.19,55.32,39.64,0.643,1.198,1.3991920643643798,2.0,5.908,3.8661579477876025,2.0,4.189,3.1236976592846655,0.1199,0.1199004975124378,1832.2235119670424,1568.7651632970455,257.80999999999995,7750.956278393078,383.31999999999994,6636.433880671813,0.037,0.064,67.79226994278056,28.152269942780563,100.40097045101092,45.08097045101092
PE000011028313211758,6,2021-08-31,873.7989130434787,114.41,58.22,42.41,0.643,1.198,1.3991920643643798,2.0,5.908,3.8661579477876025,2.0,4.189,3.1236976592846655,0.1199,0.1199004975124378,1901.4191368283923,1628.011038609778,257.80999999999995,7750.956278393078,383.31999999999994,6636.433880671813,0.037,0.064,70.35250806265051,27.942508062650518,104.1927064710258,45.9727064710258
08024423230000591719,6,2021-04-30,640.8888888888891,98.78,98.44,79.8,0.952,0.876,0.971056236873386,3.07,3.6474,2.7652187071882346,3.439,3.3442,2.563988353422069,0.0799,0.0798910675381263,653.7175973722798,589.7254901960787,501.58,5097.531511556214,601.03,4598.5365569568785,0.109,0.145,71.2552181135785,-8.544781886421504,85.5101960784314,-12.929803921568592
08024423230000591719,6,2021-05-31,664.3535353535353,103.25,103.33,84.23,0.952,0.876,0.971056236873386,3.07,3.6474,2.7652187071882346,3.439,3.3442,2.563988353422069,0.0799,0.0798910675381263,677.6519369684182,611.3169085816145,501.58,5097.531511556214,601.03,4598.5365569568785,0.109,0.145,73.86406112955758,-10.36593887044242,88.64095174433409,-14.68904825566591
08024423230000591719,6,2021-06-30,860.1904761904772,90.46,91.8,76.91,0.952,0.876,0.971056236873386,3.07,3.6474,2.7652187071882346,3.439,3.3442,2.563988353422069,0.0799,0.0798910675381263,877.408956726734,791.5198079231702,501.58,5097.531511556214,601.03,4598.5365569568785,0.109,0.145,95.637576283214,18.727576283214006,114.77037214885968,22.97037214885968
08024423230000591719,6,2021-07-31,1072.999999999999,91.26,93.79,79.72,0.952,0.876,0.971056236873386,3.07,3.6474,2.7652187071882346,3.439,3.3442,2.563988353422069,0.0799,0.0798910675381263,1094.478300593637,987.340336134453,501.58,5097.531511556214,601.03,4598.5365569568785,0.109,0.145,119.29813476470643,39.578134764706434,143.16434873949567,49.37434873949566
08024423230000591719,6,2021-08-31,966.1304347826098,102.27,105.16,89.43,0.952,0.876,0.971056236873386,3.07,3.6474,2.7652187071882346,3.439,3.3442,2.563988353422069,0.0799,0.0798910675381263,985.4695213538334,889.0023748629898,501.58,5097.531511556214,601.03,4598.5365569568785,0.109,0.145,107.41617782756785,17.986177827567843,128.9053443551335,23.74534435513351
08024423230000591719,6,2021-09-30,792.9330143540654,106.35,108.51,91.49,0.952,0.876,0.971056236873386,3.07,3.6474,2.7652187071882346,3.439,3.3442,2.563988353422069,0.0799,0.0798910675381263,808.8051985413125,729.6316392585729,501.58,5097.531511556214,601.03,4598.5365569568785,0.109,0.145,88.15976664100306,-3.330233358996935,105.79658769249306,-2.7134123075069425
08027030540000120715,3,2021-04-30,640.8888888888891,98.78,47.66,57.41,0.952,2.311,1.339390653687238,3.07,6.2261,2.6838377206598287,3.439,9.1389,2.0435331116571476,0.1099,0.1099000666222518,901.6812897371606,1555.7712418300662,173.45,3046.597256330542,138.98,5256.633858088693,0.063,0.029,56.80592125344111,-0.6040787465588835,45.11736601307192,-2.542633986928074
08027030540000120715,3,2021-05-31,664.3535353535353,103.25,49.48,60.63,0.952,2.311,1.339390653687238,3.07,6.2261,2.6838377206598287,3.439,9.1389,2.0435331116571476,0.1099,0.1099000666222518,934.6942394922261,1612.7321640777525,173.45,3046.597256330542,138.98,5256.633858088693,0.063,0.029,58.885737088010245,-1.7442629119897575,46.76923275825482,-2.710767241745174
08027030540000120715,3,2021-06-30,860.1904761904772,90.46,41.84,55.41,0.952,2.311,1.339390653687238,3.07,6.2261,2.6838377206598287,3.439,9.1389,2.0435331116571476,0.1099,0.1099000666222518,1210.2217271011552,2088.1304521808747,173.45,3046.597256330542,138.98,5256.633858088693,0.063,0.029,76.24396880737278,20.833968807372784,60.55578311324537,18.715783113245365
PE000007924982758085,3,2021-04-30,380.0793650793651,149.87,67.01,34.29,0.643,1.587,2.059510369708108,2.0,7.835,4.455108336468154,2.0,6.808,3.5519335461193373,0.1099,0.1099,1217.3831939238355,938.0807968599572,96.38,4618.097239209645,181.15,3558.574128308188,0.023,0.057,27.999813460248216,-6.290186539751783,53.47060542101757,-13.539394578982439
PE000007924982758085,3,2021-05-31,477.6262626262627,135.08,59.9,31.9,0.643,1.587,2.059510369708108,2.0,7.835,4.455108336468154,2.0,6.808,3.5519335461193373,0.1099,0.1099,1529.8230804412383,1178.838069654555,96.38,4618.097239209645,181.15,3558.574128308188,0.023,0.057,35.18593085014848,3.285930850148482,67.19376997030965,7.293769970309647
