utility_account_number,month,contract_rate,netrate,cost,total_cost,total_charges,margin,usage,monthly_usage_kwh_x,pred_rce_scaled_usage,model_rate,term,rce,nits,icap,default_rce_x,pred_rce,pred_nits,pred_icap,pred_gross_cost,model_tot_charge,model_margin
08063259435000210716,2021-04-30,0.0405,0.0405,0.0732355089925722,23.435362877623117,12.96,-10.475362877623112,320.0,694.3576412698409,1149.6898096950501,0.027,6,0.553,1.3673,3.4078,0.905,1.498463062739845,2.8183108460350277,3.2747173099825675,28.1,8.64,-14.795362877623116
08063259435000210716,2021-05-31,0.0405,0.0404966887417218,0.0792714354063012,23.93997349270297,12.23,-11.709973492702968,302.0,703.1444808080797,1164.238709679882,0.027,6,0.553,1.3673,3.4078,0.905,1.498463062739845,2.8183108460350277,3.2747173099825675,29.67,8.154,-15.785973492702968
08063259435000210716,2021-06-30,0.0405,0.0405043478260869,0.072750818522217,41.83172065027479,23.29,-18.54172065027479,575.0,704.3514269841257,1166.237123230733,0.027,6,0.553,1.3673,3.4078,0.905,1.498463062739845,2.8183108460350277,3.2747173099825675,39.05,15.525,-26.30672065027479
2949068634,2021-07-31,0.04877,0.0487755102040816,0.0608281541520258,38.7475341948405,31.07,-7.677534194840497,637.0,1197.000000000002,1372.5196572630657,0.061,6,2.232,0.0,0.0,1.135,1.3014284135284686,2.405789498561546,2.2799433650878314,49.42,38.857,0.10946580515950188
8290300263,2021-01-31,0.0722,0.0722,0.046910919118322,23.45545955916102,36.1,12.64454044083898,500.0,1044.0656565656557,818.483862398641,0.092,6,0.697,1.899,2.18,1.135,0.8897708472456005,2.1506105619855207,2.346737216002581,46.72,46.0,22.54454044083898
8290300263,2021-02-28,0.0722,0.0722084367245657,0.0711243101766278,28.663097001181004,29.1,0.4369029988189972,403.0,815.9999999999993,639.6942831298761,0.092,6,0.697,1.899,2.18,1.135,0.8897708472456005,2.1506105619855207,2.346737216002581,76.28,37.076,8.412902998818996
8290300263,2021-03-31,0.0722,0.072199074074074,0.048910699423741,21.12942215105615,31.19,10.06057784894385,432.0,876.4949494949483,687.1186377256475,0.092,6,0.697,1.899,2.18,1.135,0.8897708472456005,2.1506105619855207,2.346737216002581,47.45,39.744,18.61457784894385
8290300263,2021-04-30,0.0722,0.072210796915167,0.0555584376904345,21.612232261579027,28.09,6.477767738420972,389.0,723.3174603174581,567.0368189376218,0.092,6,0.697,1.899,2.18,1.135,0.8897708472456005,2.1506105619855207,2.346737216002581,55.67,35.788,14.17576773842097
8290300263,2021-05-31,0.0722,0.0721958456973293,0.0506614248200936,34.145800328743135,48.66,14.51419967125686,674.0,900.8282828282815,706.1944884889159,0.092,6,0.697,1.899,2.18,1.135,0.8897708472456005,2.1506105619855207,2.346737216002581,57.95,62.007999999999996,27.86219967125686
8290300263,2021-06-30,0.0722,0.0722,0.050580982958178,55.63908125399587,79.42,23.780918746004133,1100.0,1043.619047619049,818.1337481952845,0.092,6,0.697,1.899,2.18,1.135,0.8897708472456005,2.1506105619855207,2.346737216002581,65.77,101.2,45.560918746004134
